"Positions for account Corporate ...299 as of 11:46 AM ET, 2024/10/24",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Symbol,Description,Qty (Quantity),Price,Price Chng % (Price Change %),Price Chng $ (Price Change $),Mkt Val (Market Value),Day Chng % (Day Change %),Day Chng $ (Day Change $),Cost Basis,Gain % (Gain/Loss %),Gain $ (Gain/Loss $),Ratings,Reinvest?,Reinvest Capital Gains?,% of Acct (% of Account),Security Type
AAPL,APPLE INC,50,$229.63 ,-0.49%,($1.13),"$11,481.50 ",-0.49%,($56.50),"$8,306.75 ",38.22%,"$3,174.75 ",A,No,--,2.76%,Equity
ABBNY,ABB LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS,158,$55.79 ,0.34%,$0.19 ,"$8,814.43 ",0.34%,$29.63 ,"$5,524.25 ",59.56%,"$3,290.18 ",--,No,--,2.12%,Equity
AER,AERCAP HOLDINGS N V F,52,$95.29 ,-0.39%,($0.38),"$4,954.82 ",-0.08%,($4.00),"$4,958.82 ",-0.08%,($4.00),--,No,--,1.19%,Equity
ARRY,ARRAY TECHNOLOGIES INC,295,$6.09 ,-2.56%,($0.16),"$1,796.55 ",-2.56%,($47.20),"$3,771.58 ",-52.37%,"($1,975.03)",C,No,--,0.43%,Equity
BLK,BLACKROCK INC NEW,20,$986.44 ,-0.17%,($1.72),"$19,728.84 ",-0.17%,($34.36),"$8,535.22 ",131.15%,"$11,193.62 ",B,No,--,4.74%,Equity
CAT,CATERPILLAR INC,23,$383.31 ,-0.63%,($2.42),"$8,816.13 ",-0.63%,($55.66),"$4,080.79 ",116.04%,"$4,735.34 ",B,No,--,2.12%,Equity
CCJ,CAMECO CORP F,56,$53.59 ,-0.91%,($0.49),"$3,001.04 ",0.14%,$4.21 ,"$2,996.83 ",0.14%,$4.21 ,--,No,--,0.72%,Equity
CHDN,CHURCHILL DOWNS INC,40,$137.07 ,2.20%,$2.94 ,"$5,482.99 ",2.20%,$117.79 ,"$4,814.88 ",13.88%,$668.11 ,C,No,--,1.32%,Equity
CRK,COMSTOCK RES INC,415,$11.58 ,-0.04%,($0.01),"$4,803.63 ",-0.04%,($2.08),"$4,123.56 ",16.49%,$680.07 ,F,No,--,1.15%,Equity
CRSP,CRISPR THERAPEUTICS AG F,40,$46.86 ,1.86%,$0.86 ,"$1,874.22 ",1.86%,$34.22 ,"$1,959.15 ",-4.34%,($84.93),--,No,--,0.45%,Equity
